,year,personyearsatrisk,suicidegun,homocidegun,massgun,suicidenotgun,homocidenotgun,suicidetotal,homocidetotal
1,1979,14515729,516,109,0,1112,202,1628,311
2,1980,14695356,529,96,0,1116,141,1645,237
3,1981,14923260,490,83,5,1214,207,1704,290
4,1982,15184247,552,112,0,1217,188,1769,300
5,1983,15393472,512,86,0,1185,189,1697,275
6,1984,15579391,542,120,5,1212,195,1754,315
7,1985,15788312,549,100,0,1313,215,1862,315
8,1986,16018350,552,106,0,1495,206,2047,312
9,1987,16263874,566,123,25,1598,224,2164,347
10,1988,16532164,503,84,6,1670,254,2173,338
11,1989,16814416,451,73,0,1618,239,2069,312
12,1990,17065128,490,77,5,1712,300,2202,377
13,1991,17284036,488,87,6,1804,259,2292,346
14,1992,17478635,475,88,6,1780,218,2255,306
15,1993,17634808,441,71,5,1601,259,2042,330
16,1994,17805468,411,70,0,1873,255,2284,325
17,1995,18004882,393,66,0,1970,258,2363,324
18,1996,18224767,391,105,41,2035,218,2426,323
19,1997,18423037,296,74,0,2351,253,2647,327
20,1998,18607584,248,56,0,2393,243,2641,299
21,1999,18812264,261,51,0,2229,247,2490,298
22,2000,19028802,222,60,0,2170,246,2392,306
23,2001,19274701,262,48,0,2208,268,2470,316
24,2002,19495210,213,50,0,2115,243,2328,293
25,2003,19720737,188,46,0,1976,228,2164,274
26,2004,19932722,171,18,0,1948,147,2119,165
27,2005,20176844,145,20,0,1951,171,2096,191
28,2006,20450966,192,36,0,1952,210,2144,246
29,2007,20827622,188,29,0,2072,199,2260,228
30,2008,21249199,184,26,0,2141,229,2325,255
31,2009,21691653,165,37,0,2196,232,2361,269
32,2010,22031750,174,39,0,2239,202,2413,241
33,2011,22340024,145,32,0,2329,240,2474,272
34,2012,22728254,176,41,0,2374,221,2550,262
35,2013,23117353,166,35,0,2454,184,2620,219